#### TIME[BJD]     Transit_flux
2459130.79543771   1.0
2459130.797369534   1.0
2459130.799626762   1.0
2459130.801562186   1.0
2459130.803755413   1.0
2459130.805690336   1.0
2459130.807883663   1.0
2459130.809819987   1.0
2459130.812077014   1.0
2459130.814011938   1.0
2459130.816205065   1.0
2459130.818140988   1.0
2459130.820333415   1.0
2459130.822269238   1.0
2459130.824461665   1.0
2459130.826397588   1.0
2459130.828655016   1.0
2459130.830590239   1.0
2459130.832783466   1.0
2459130.834721989   1.0
2459130.837753726   1.0
2459130.839685949   1.0
2459130.841943776   1.0
2459130.843878999   1.0
2459130.846072625   1.0
2459130.848007348   1.0
2459130.850393977   1.0
2459130.852332   1.0
2459130.854525526   1.0
2459130.856457749   1.0
2459130.858651175   0.9998076057040476
2459130.860586298   0.9981198966857148
2459130.862779624   0.9951651955475462
2459130.864716047   0.992052279705312
2459130.866911173   0.9882673076537044
2459130.868843396   0.9849313983867932
2459130.871036621   0.9813896627611142
2459130.872971544   0.9787121304182473
2459130.87516457   0.9766157853359766
2459130.877099993   0.9760435102778444
2459130.879876525   0.9755182637512299
2459130.881809148   0.9752512291692595
2459130.884066374   0.9750081210126781
2459130.886001797   0.9748458557647381
2459130.888324424   0.9746972885265897
2459130.890259546   0.974606797305365
2459130.892516572   0.9745353987585362
2459130.894452595   0.9745014804344874
2459130.89671002   0.9744924110794494
2459130.898645743   0.9745105618370314
2459130.900838769   0.9745606754950928
2459130.902773591   0.9746323983625038
2459130.904967016   0.9747475779071209
2459130.906901538   0.9748827878507033
2459130.909095264   0.9750808541278396
2459130.911030386   0.9753038462230663
2459130.913288412   0.9756395762742941
2459130.915223734   0.9760211415194322
2459130.917416159   0.976711037334131
2459130.91935258   0.9785939361241558
2459130.92283502   0.983690257428944
2459130.924835343   0.9870926739001386
2459130.927027968   0.9909012840800435
2459130.92896399   0.99411521469282
2459130.931221615   0.9973784146859438
2459130.933158637   0.9994083254211684
2459130.935414562   1.0
2459130.937413685   1.0
2459130.93960761   1.0
2459130.941542531   1.0
2459130.943735356   1.0
2459130.945670478   1.0
2459130.947864202   1.0
2459130.949863524   1.0
2459130.952059249   1.0
2459130.95399207   1.0
2459130.956185095   1.0
2459130.958120716   1.0
2459130.961023348   1.0
2459130.96295867   1.0
2459130.965151694   1.0
2459130.967087715   1.0
2459130.969409541   1.0
2459130.971344262   1.0
2459130.973538287   1.0
2459130.975537408   1.0
2459130.977730832   1.0
2459130.979666254   1.0
2459130.981858477   1.0
2459130.983794398   1.0
2459130.985988922   1.0
2459130.987922443   1.0
2459130.990116267   1.0
2459130.992050588   1.0
2459130.994308713   1.0
2459130.996244034   1.0
